City,Country,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
busselton,AU,-33.65,115.33,66.99,60,10,1.01
bluff,NZ,-46.6,168.33,55.99,79,37,4.0
chegdomyn,RU,51.12,133.02,61.59,56,98,1.79
otradnoye,RU,59.78,30.82,50.0,99,27,4.92
mogwase,ZA,-25.18,27.27,51.1,78,0,3.62
portsmouth,GB,50.8,-1.09,62.01,92,97,1.01
evensk,RU,61.95,159.23,46.45,53,0,7.45
bredasdorp,ZA,-34.53,20.04,48.2,93,22,2.24
punta arenas,CL,-53.15,-70.92,42.8,81,75,20.8
mar del plata,AR,-38.0,-57.56,54.0,76,100,9.17
albany,US,42.6,-73.97,57.0,57,4,8.99
kapaa,US,22.08,-159.32,84.2,70,20,14.99
kashi,CN,39.45,75.98,68.0,34,83,6.71
dikson,RU,73.51,80.55,41.52,87,100,16.37
inverell,AU,-29.78,151.12,72.0,33,0,8.99
rikitea,PF,-23.12,-134.97,72.77,76,100,18.61
ponta do sol,PT,32.67,-17.1,75.2,78,20,10.29
tasiilaq,GL,65.61,-37.64,28.4,74,100,6.93
muros,ES,42.78,-9.06,64.0,91,79,1.01
bambous virieux,MU,-20.34,57.76,73.0,73,40,11.41
aconibe,GQ,1.3,10.94,67.33,99,100,1.74
new norfolk,AU,-42.78,147.06,57.0,63,83,1.99
saint-philippe,RE,-21.36,55.77,73.4,46,44,4.7
tuktoyaktuk,CA,69.45,-133.04,37.4,93,90,5.82
nome,US,64.5,-165.41,50.0,53,75,8.05
bonthe,SL,7.53,-12.51,77.14,88,67,7.14
saint-pierre,RE,-21.34,55.48,73.4,46,5,4.7
nikolskoye,RU,59.7,30.79,50.0,93,90,2.24
vaini,TO,-21.2,-175.2,75.2,83,75,12.75
hermanus,ZA,-34.42,19.23,50.0,94,33,1.99
mehamn,NO,71.04,27.85,42.8,81,20,18.34
mataura,NZ,-46.19,168.86,55.99,79,77,4.0
cabo san lucas,MX,22.89,-109.91,86.0,82,25,1.99
saskylakh,RU,71.92,114.08,51.17,54,3,19.48
butaritari,KI,3.07,172.79,82.29,76,6,15.95
vardo,NO,70.37,31.11,37.4,76,20,9.17
hofn,IS,64.25,-15.21,40.48,67,95,14.14
flinders,AU,-34.58,150.86,73.0,35,11,8.99
pangnirtung,CA,66.15,-65.71,33.19,78,100,6.13
atuona,PF,-9.8,-139.03,78.69,72,0,19.82
aswan,EG,24.09,32.91,84.02,28,0,11.59
morehead,US,37.27,-87.18,60.8,100,1,0.81
padang,ID,-0.95,100.35,87.19,62,29,3.42
puerto ayora,EC,-0.74,-90.35,68.0,84,47,7.0
ishinomaki,JP,38.42,141.3,75.2,64,75,8.05
kautokeino,NO,69.01,23.04,33.98,86,89,7.31
cape town,ZA,-33.93,18.42,57.0,93,11,13.87
port alfred,ZA,-33.59,26.89,55.98,72,0,4.21
airai,TL,-8.93,125.41,79.83,45,14,6.6
katsuura,JP,35.13,140.3,73.99,90,100,1.01
avarua,CK,-21.21,-159.78,78.8,88,99,12.75
muroto,JP,33.28,134.15,82.4,61,20,9.17
rastolita,RO,46.97,24.99,48.0,93,1,8.01
bethel,US,41.37,-73.41,55.99,58,1,5.82
arraial do cabo,BR,-22.97,-42.03,67.62,87,100,15.52
collie,AU,-33.37,116.15,71.01,43,9,3.94
east london,ZA,-33.02,27.91,53.6,81,0,6.93
jizan,SA,17.33,42.67,87.8,79,82,1.43
khatanga,RU,71.97,102.5,53.4,51,21,19.1
hilo,US,19.73,-155.09,82.4,61,75,6.93
miri,MY,4.41,114.01,86.0,74,40,3.36
kingori,TZ,-3.28,36.98,64.4,88,75,5.12
san ramon,US,37.78,-121.98,66.99,68,1,4.52
guanare,VE,9.04,-69.74,75.09,83,24,2.64
provideniya,RU,64.38,-173.3,44.6,70,75,13.42
castro,BR,-24.79,-50.01,50.67,88,39,9.95
saint-georges,GD,12.06,-61.75,84.2,74,20,5.82
yellowknife,CA,62.46,-114.35,48.0,93,40,6.93
narsaq,GL,60.92,-46.05,33.8,26,0,11.41
tuatapere,NZ,-46.13,167.68,55.99,79,42,4.0
vila velha,BR,-20.33,-40.29,71.6,88,90,3.36
deputatskiy,RU,69.3,139.9,45.68,61,6,10.49
lasa,IT,46.62,10.7,53.6,100,75,3.36
bengkulu,ID,-3.8,102.27,85.53,66,0,6.42
aklavik,CA,68.22,-135.01,41.0,93,75,3.36
lipari,IT,38.47,14.95,73.0,68,28,7.0
ushuaia,AR,-54.8,-68.3,41.0,75,75,5.82
palmer,US,42.16,-72.33,55.4,43,20,6.93
bjornevatn,NO,69.67,29.98,37.4,74,74,19.46
makakilo city,US,21.35,-158.09,86.0,51,40,8.05
hasaki,JP,35.73,140.83,75.2,78,75,9.17
victoria,HK,22.29,114.16,91.99,70,57,1.01
sept-iles,CA,50.2,-66.38,44.01,93,75,2.24
chuy,UY,-33.7,-53.46,48.25,86,91,8.08
norman wells,CA,65.28,-126.83,53.6,50,20,4.7
port elizabeth,ZA,-33.92,25.57,41.0,86,0,4.7
buala,SB,-8.14,159.59,85.6,65,42,4.54
jambi,ID,-1.6,103.62,92.21,54,79,1.97
jamestown,US,42.1,-79.24,53.6,76,1,10.29
itaituba,BR,-4.28,-55.98,74.55,90,26,2.59
gladstone,AU,-23.85,151.25,80.6,61,90,9.17
buraydah,SA,26.33,43.98,73.4,35,0,4.7
gushikawa,JP,26.35,127.87,87.8,70,20,9.17
sivas,TR,39.79,37.0,46.4,100,0,2.24
truth or consequences,US,33.13,-107.25,78.8,19,1,4.7
tura,IN,25.52,90.22,75.58,96,97,5.12
lebu,CL,-37.62,-73.65,47.61,86,90,15.88
yatou,CN,37.15,122.38,71.82,58,100,6.91
fortuna,US,40.6,-124.16,57.99,93,1,2.26
samarai,PG,-10.62,150.67,78.78,81,100,14.36
belem de sao francisco,BR,-8.75,-38.97,72.55,72,0,19.08
port macquarie,AU,-31.43,152.92,80.01,34,0,7.45
iranshahr,IR,27.2,60.68,75.2,19,0,4.7
petrozavodsk,RU,61.78,34.35,42.8,87,92,2.24
kaeo,NZ,-35.1,173.78,64.0,77,43,11.01
tiksi,RU,71.69,128.87,48.96,57,53,17.94
talnakh,RU,69.49,88.4,46.4,75,100,24.61
maragogi,BR,-9.01,-35.22,73.51,83,42,7.11
san onofre,CO,9.74,-75.53,77.67,84,100,2.26
cockburn town,TC,21.46,-71.14,81.95,81,73,15.75
micheweni,TZ,-4.97,39.83,77.56,84,83,16.06
bereda,ES,43.27,-7.54,60.01,93,80,10.0
mahebourg,MU,-20.41,57.7,71.6,73,40,11.41
kodiak,US,57.79,-152.41,50.0,87,90,12.75
puntarenas,CR,9.98,-84.84,68.0,100,75,1.12
belmonte,BR,-15.86,-38.88,73.4,88,75,2.24
kyzyl-suu,KG,42.34,78.0,56.98,42,0,3.94
lavrentiya,RU,65.58,-171.0,40.57,81,98,6.51
triel-sur-seine,FR,48.98,2.01,62.01,87,1,6.93
buchanan,LR,5.88,-10.05,75.76,90,96,6.82
dmitriyevka,RU,54.75,55.33,55.4,82,90,13.42
caravelas,BR,-17.71,-39.25,72.32,88,63,5.17
geraldton,AU,-28.77,114.6,82.4,17,0,17.22
anloga,GH,5.79,0.9,77.0,88,75,8.05
valday,RU,57.97,33.25,45.48,96,17,5.08
orda,RU,57.2,56.91,45.39,79,6,16.55
mongar,BT,27.27,91.24,62.28,96,100,0.51
ilebo,CD,-4.32,20.58,70.56,93,13,2.08
kaitangata,NZ,-46.28,169.85,55.99,73,76,11.01
upernavik,GL,72.79,-56.15,25.54,95,100,9.26
sivaki,RU,52.63,126.75,56.12,73,100,9.91
clyde river,CA,70.47,-68.59,19.4,79,1,2.24
saldanha,ZA,-33.01,17.94,46.4,87,0,5.82
kieta,PG,-6.22,155.63,85.35,58,100,2.59
wanning,CN,18.8,110.4,87.48,65,76,4.63
hobart,AU,-42.88,147.33,57.0,71,75,21.92
todos santos,MX,23.45,-110.22,82.0,81,11,4.32
tselinnoye,RU,53.08,85.67,48.18,87,100,12.3
canutama,BR,-6.53,-64.38,73.22,96,71,3.42
oda,JP,35.18,132.5,77.0,69,75,16.11
kathu,TH,7.92,98.33,87.8,70,20,3.36
monrovia,LR,6.3,-10.8,76.03,89,100,7.72
saint-joseph,RE,-21.37,55.62,73.4,46,24,4.7
hervey bay,AU,-25.3,152.85,78.01,79,83,4.0
port-cartier,CA,50.03,-66.87,44.01,93,75,2.24
necochea,AR,-38.55,-58.74,51.01,71,98,4.0
cherepovets,RU,59.13,37.9,44.6,100,20,4.47
tessalit,ML,20.2,1.01,82.78,41,0,6.55
labuhan,ID,-6.88,112.21,89.13,56,100,3.22
taoudenni,ML,22.68,-3.98,91.17,16,0,3.33
salalah,OM,17.02,54.09,78.8,94,90,6.93
ahipara,NZ,-35.17,173.17,62.46,75,30,13.47
abeche,TD,13.83,20.83,78.4,63,65,8.46
dingle,PH,11.0,122.67,87.4,71,13,6.8
launceston,AU,-41.45,147.17,61.0,67,40,13.87
camacha,PT,33.08,-16.33,71.6,83,40,12.75
luwingu,ZM,-10.26,29.93,55.89,70,0,5.03
tual,ID,-5.67,132.75,80.6,79,85,13.94
hithadhoo,MV,-0.6,73.08,81.82,66,94,4.63
saint george,US,37.1,-113.58,79.0,19,1,5.82
daru,PG,-9.08,143.21,81.61,77,90,17.63
kant,IN,27.8,79.8,84.34,73,100,10.56
gobo,JP,33.88,135.15,77.0,65,75,2.24
boden,SE,65.83,21.69,48.2,76,100,14.99
kenai,US,60.55,-151.26,50.0,81,90,16.11
codrington,AU,-38.27,141.97,50.14,71,97,17.09
kaunas,LT,54.9,23.9,50.0,87,0,2.24
sitka,US,57.05,-135.33,57.2,58,90,20.8
cap-haitien,HT,19.76,-72.2,82.02,75,100,3.02
constitucion,CL,-35.33,-72.42,53.15,76,34,6.4
