City,Country,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
busselton,AU,-33.65,115.33,73.0,33,51,13.11
bluff,NZ,-46.6,168.33,52.0,88,100,4.0
chegdomyn,RU,51.12,133.02,61.99,54,70,5.17
otradnoye,RU,59.78,30.82,55.99,99,74,6.6
mogwase,ZA,-25.18,27.27,56.32,61,0,1.88
portsmouth,GB,50.8,-1.09,57.99,84,29,1.01
evensk,RU,61.95,159.23,49.26,50,100,10.63
bredasdorp,ZA,-34.53,20.04,53.6,93,0,1.12
punta arenas,CL,-53.15,-70.92,46.0,75,40,28.86
mar del plata,AR,-38.0,-57.56,50.0,93,0,3.36
albany,US,42.6,-73.97,62.01,97,0,5.06
kapaa,US,22.08,-159.32,84.2,66,40,14.99
kashi,CN,39.45,75.98,68.0,28,0,8.95
dikson,RU,73.51,80.55,39.27,90,81,19.35
inverell,AU,-29.78,151.12,68.0,31,0,5.99
rikitea,PF,-23.12,-134.97,72.37,77,16,12.03
ponta do sol,PT,32.67,-17.1,73.4,78,40,2.24
tasiilaq,GL,65.61,-37.64,28.4,63,54,6.78
muros,ES,42.78,-9.06,55.99,95,77,1.99
bambous virieux,MU,-20.34,57.76,72.0,88,20,3.36
aconibe,GQ,1.3,10.94,65.82,99,100,2.57
new norfolk,AU,-42.78,147.06,55.99,62,99,1.01
saint-philippe,RE,-21.36,55.77,68.0,49,43,6.93
tuktoyaktuk,CA,69.45,-133.04,35.6,93,90,20.8
nome,US,64.5,-165.41,44.6,52,20,10.29
bonthe,SL,7.53,-12.51,75.9,90,23,5.3
saint-pierre,RE,-21.34,55.48,68.0,49,47,6.93
nikolskoye,RU,59.7,30.79,55.99,87,74,4.47
vaini,TO,-21.2,-175.2,77.0,78,20,12.75
hermanus,ZA,-34.42,19.23,46.99,94,0,4.74
mehamn,NO,71.04,27.85,50.0,57,26,20.8
mataura,NZ,-46.19,168.86,52.0,88,96,4.0
cabo san lucas,MX,22.89,-109.91,87.01,67,0,13.29
saskylakh,RU,71.92,114.08,53.38,54,0,11.68
butaritari,KI,3.07,172.79,83.26,72,76,10.89
vardo,NO,70.37,31.11,48.2,66,24,35.57
hofn,IS,64.25,-15.21,39.45,69,0,10.11
flinders,AU,-34.58,150.86,66.99,39,0,18.01
pangnirtung,CA,66.15,-65.71,34.27,75,100,10.71
atuona,PF,-9.8,-139.03,78.58,73,36,18.52
aswan,EG,24.09,32.91,82.18,38,0,13.04
morehead,US,37.27,-87.18,64.4,100,75,1.07
padang,ID,-0.95,100.35,81.66,74,98,3.11
puerto ayora,EC,-0.74,-90.35,68.0,85,98,8.99
ishinomaki,JP,38.42,141.3,68.0,68,75,17.22
kautokeino,NO,69.01,23.04,34.3,88,0,16.89
cape town,ZA,-33.93,18.42,57.0,93,75,11.41
port alfred,ZA,-33.59,26.89,59.23,78,0,2.21
airai,TL,-8.93,125.41,80.11,43,0,6.64
katsuura,JP,35.13,140.3,71.01,83,75,18.34
avarua,CK,-21.21,-159.78,78.8,94,81,3.36
muroto,JP,33.28,134.15,77.0,83,90,2.24
rastolita,RO,46.97,24.99,52.0,83,42,2.46
bethel,US,41.37,-73.41,61.0,93,1,3.36
arraial do cabo,BR,-22.97,-42.03,69.89,86,100,16.42
collie,AU,-33.37,116.15,64.99,57,35,4.0
east london,ZA,-33.02,27.91,60.8,93,90,5.82
jizan,SA,17.33,42.67,86.0,84,100,3.36
khatanga,RU,71.97,102.5,48.96,61,45,6.71
hilo,US,19.73,-155.09,77.0,94,90,3.36
miri,MY,4.41,114.01,84.2,74,20,5.82
kingori,TZ,-3.28,36.98,62.69,86,67,4.07
san ramon,US,37.78,-121.98,72.0,68,1,3.36
guanare,VE,9.04,-69.74,74.66,94,95,2.01
provideniya,RU,64.38,-173.3,44.6,70,79,5.75
castro,BR,-24.79,-50.01,55.74,91,55,8.84
saint-georges,GD,12.06,-61.75,86.0,79,20,14.99
yellowknife,CA,62.46,-114.35,51.8,71,75,13.87
narsaq,GL,60.92,-46.05,37.4,40,100,4.7
tuatapere,NZ,-46.13,167.68,52.0,88,95,4.0
vila velha,BR,-20.33,-40.29,68.0,100,75,4.7
deputatskiy,RU,69.3,139.9,46.51,55,46,6.44
lasa,IT,46.62,10.7,57.2,100,90,3.36
bengkulu,ID,-3.8,102.27,83.95,69,100,3.8
aklavik,CA,68.22,-135.01,37.4,93,90,12.75
lipari,IT,38.47,14.95,73.0,78,47,8.99
ushuaia,AR,-54.8,-68.3,41.0,86,75,20.8
palmer,US,42.16,-72.33,60.8,72,20,9.17
bjornevatn,NO,69.67,29.98,48.2,61,26,41.38
makakilo city,US,21.35,-158.09,87.8,55,1,9.17
hasaki,JP,35.73,140.83,69.8,94,75,19.46
victoria,HK,22.29,114.16,84.99,76,83,1.99
sept-iles,CA,50.2,-66.38,59.0,67,20,13.87
chuy,UY,-33.7,-53.46,52.07,91,99,1.61
norman wells,CA,65.28,-126.83,55.4,54,75,8.05
port elizabeth,ZA,-33.92,25.57,51.8,93,75,2.24
buala,SB,-8.14,159.59,82.6,76,60,4.05
jambi,ID,-1.6,103.62,88.79,60,99,4.79
jamestown,US,42.1,-79.24,60.8,77,1,11.41
itaituba,BR,-4.28,-55.98,77.86,76,21,1.32
gladstone,AU,-23.85,151.25,80.6,28,75,11.41
buraydah,SA,26.33,43.98,78.8,24,0,5.82
gushikawa,JP,26.35,127.87,84.2,74,1,10.29
sivas,TR,39.79,37.0,48.2,87,0,2.24
truth or consequences,US,33.13,-107.25,75.2,31,1,11.41
tura,IN,25.52,90.22,75.11,97,100,3.36
lebu,CL,-37.62,-73.65,48.33,88,10,13.6
yatou,CN,37.15,122.38,70.77,67,94,6.8
fortuna,US,40.6,-124.16,70.0,82,75,4.7
samarai,PG,-10.62,150.67,78.89,83,74,14.34
belem de sao francisco,BR,-8.75,-38.97,70.23,75,0,16.8
port macquarie,AU,-31.43,152.92,75.0,28,0,5.08
iranshahr,IR,27.2,60.68,73.4,18,0,6.93
